sample_id,source_file,label,element_html,parent_html,sr_transcript,sr_status_announcement,sr_role_state_value,sr_label_instruction,sr_focus_order,sr_link_purpose,sr_headings_labels,sr_reading_order,sr_keyboard_trap,sr_focus_context,sr_input_context,sr_sensory_reference,Prediction,Reason,Confidence,EvidenceCitation,AppliedSkills
buttons-empty-button::sample-0,buttons-empty-button.html,inaccessible,<main><button></button></main>,<body><h1>A button</h1><main><button></button></main></body>,"[""main"",""button"",""end of main""]",,,,,,,,,,,,inaccessible,"{'4.1.2': 'Descendant button lacks an accessible name. SOURCE HTML shows <button></button> (no text/aria-label/label), and SCREEN READER announces only ""button"" with no name.'}",0.93,"element_html: <button></button>; sr_transcript: ""button""","1.3.1/form-control-grouping, 1.3.1/heading-structure, 1.3.1/hidden-or-css-content, 1.3.1/list-structure, 1.3.1/semantic-misuse, 1.3.1/table-relationships, 4.1.2/name-role-value, 4.1.3/status-messages"
forms-empty-label-found::sample-0,forms-empty-label-found.html,inaccessible,"<main><form><label for=""empty""></label><input id=""empty"" type=""text"" value=""""></form></main>","<body><h1>A label found</h1><main><form><label for=""empty""></label><input id=""empty"" type=""text"" value=""""></form></main></body>","[""main"",""form"",""textbox"",""end of form"",""end of main""]",,,,,,,,,,,,inaccessible,"{'4.1.2': 'Native text input lacks an accessible name. SCREEN READER transcript announces only \'textbox\' (no label), and SOURCE HTML shows an empty associated label (<label for=""empty""></label>), so the control’s name is missing.'}",0.94,"sr_transcript: ""textbox""; element_html: ""<label for=""empty""></label><input id=""empty"" type=""text"">""","1.3.1/form-control-grouping, 1.3.1/heading-structure, 1.3.1/hidden-or-css-content, 1.3.1/list-structure, 1.3.1/semantic-misuse, 1.3.1/table-relationships, 4.1.2/name-role-value, 4.1.3/status-messages"
forms-field-hint-not-associated-with-input::sample-0,forms-field-hint-not-associated-with-input.html,inaccessible,"<main><form><label class=""form-label"" for=""ni-number"">
National Insurance number
</label><p class=""form-hint"">It'll be on your last payslip. For example, JH 21 90 0A.</p><input class=""form-control"" id=""ni-number"" type=""text""></form></main>","<body><h1>Field hint</h1><main><form><label class=""form-label"" for=""ni-number"">
National Insurance number
</label><p class=""form-hint"">It'll be on your last payslip. For example, JH 21 90 0A.</p><input class=""form-control"" id=""ni-number"" type=""text""></form></main></body>","[""main"",""form"",""National Insurance number"",""paragraph"",""It'll be on your last payslip. For example, JH 21 90 0A."",""end of paragraph"",""textbox, National Insurance number"",""end of form"",""end of main""]",,,,,,,,,,,,accessible,,0.89,"Screen reader: ""textbox, National Insurance number""; HTML shows native <input type=""text""> with associated <label>.","1.3.1/form-control-grouping, 1.3.1/heading-structure, 1.3.1/hidden-or-css-content, 1.3.1/list-structure, 1.3.1/semantic-misuse, 1.3.1/table-relationships, 4.1.2/name-role-value, 4.1.3/status-messages"
forms-form-element-has-no-label::sample-0,forms-form-element-has-no-label.html,inaccessible,"<main><form><input type=""text""></form></main>","<body><h1>Form element</h1><main><form><input type=""text""></form></main></body>","[""main"",""form"",""textbox"",""end of form"",""end of main""]",,,,,,,,,,,,inaccessible,"{'4.1.2': 'The native text input inside the element lacks an accessible name: SOURCE HTML shows <input type=""text""> with no associated <label>/aria-label/aria-labelledby, and SCREEN READER announces only ""textbox"" with no name.'}",0.9,"SOURCE: <input type=""text"">; SCREEN READER: ""textbox""","1.3.1/form-control-grouping, 1.3.1/heading-structure, 1.3.1/hidden-or-css-content, 1.3.1/list-structure, 1.3.1/semantic-misuse, 1.3.1/table-relationships, 4.1.2/name-role-value, 4.1.3/status-messages"
forms-label-element-with-for-attribute-but-not-matching-id-attribute-of-form-control::sample-0,forms-label-element-with-for-attribute-but-not-matching-id-attribute-of-form-control.html,inaccessible,"<input id=""label-for-not-matching"" type=""checkbox"" value=""yes"">","<fieldset><legend>A normal form</legend><label id=""not-matching-anything"">form</label><input id=""label-for-not-matching"" type=""checkbox"" value=""yes""></fieldset>","[""checkbox, not checked""]",,"{""before"":{""phrase"":""checkbox, not checked"",""html"":""<input id=\""label-for-not-matching\"" type=\""checkbox\"" value=\""yes\"">""},""after"":{""phrase"":""checkbox, checked"",""html"":""<input id=\""label-for-not-matching\"" type=\""checkbox\"" value=\""yes\"" checked=\""\"">""}}",,,,,,,,,,inaccessible,"{'4.1.2': 'Checkbox has no accessible name. The element has no aria-label/aria-labelledby and no associated <label for>. Screen reader announces only “checkbox, not checked” (no name). The nearby <label id=""not-matching-anything""> is not associated (no for attribute and id does not match).'}",0.9,"SR: ""checkbox, not checked""; SOURCE: <input id=""label-for-not-matching"" type=""checkbox"" value=""yes"">; PARENT: <label id=""not-matching-anything"">form</label> (not linked)","1.3.1/form-control-grouping, 4.1.2/name-role-value, 1.1.1/non-text-content"
forms-labels-missing-when-they-would-look-clumsy-for-some-form-controls::sample-0,forms-labels-missing-when-they-would-look-clumsy-for-some-form-controls.html,inaccessible,"<main><form><label for=""missing-labels-day"">Your child's date of birth</label><p><input id=""missing-labels-day"" type=""text""><input id=""missing-labels-month"" type=""text""><input id=""missing-labels-year"" type=""text""></p></form></main>","<body><h1>A form</h1><main><form><label for=""missing-labels-day"">Your child's date of birth</label><p><input id=""missing-labels-day"" type=""text""><input id=""missing-labels-month"" type=""text""><input id=""missing-labels-year"" type=""text""></p></form></main></body>","[""main"",""form"",""Your child's date of birth"",""paragraph"",""textbox, Your child's date of birth"",""textbox"",""textbox"",""end of paragraph"",""end of form"",""end of main""]",,,,,,,,,,,,inaccessible,"{'4.1.2': 'Two textboxes have no accessible name. SOURCE HTML shows only one <label for=""missing-labels-day"">; the month/year inputs have no associated label. SCREEN READER transcript confirms they are announced only as ""textbox"" with no name, violating Name, Role, Value.'}",0.9,"SOURCE: <input id=""missing-labels-month""...><input id=""missing-labels-year""...>; SR: ""textbox | textbox"" (no names)","1.3.1/form-control-grouping, 1.3.1/heading-structure, 1.3.1/hidden-or-css-content, 1.3.1/list-structure, 1.3.1/semantic-misuse, 1.3.1/table-relationships, 4.1.2/name-role-value, 4.1.3/status-messages"
forms-missing-labels-in-checkboxes::sample-0,forms-missing-labels-in-checkboxes.html,inaccessible,"<input id=""nationality_british"" name=""nationality.british"" type=""checkbox"" value=""true"">","<fieldset><legend>What is your nationality?</legend><label>British (including English, Scottish, Welsh and Northern Irish)</label><input id=""nationality_british"" name=""nationality.british"" type=""checkbox"" value=""true""><label>Irish</label><input id=""nationality_irish"" name=""nationality.irish"" type=""checkbox"" value=""true""><label>Citizen of a different country</label><input id=""nationality_hasOtherCountry"" name=""nationality.hasOtherCountry"" type=""checkbox"" value=""true""></fieldset>","[""checkbox, not checked""]",,"{""before"":{""phrase"":""checkbox, not checked"",""html"":""<input id=\""nationality_british\"" name=\""nationality.british\"" type=\""checkbox\"" value=\""true\"">""},""after"":{""phrase"":""checkbox, checked"",""html"":""<input id=\""nationality_british\"" name=\""nationality.british\"" type=\""checkbox\"" value=\""true\"" checked=\""\"">""}}",,,,,,,,,,inaccessible,"{'4.1.2': 'Native checkbox has no accessible name; screen reader announces only the role/state with no label, and parent labels are not programmatically associated. SR: ""checkbox, not checked"". Parent HTML shows <label> elements without for= and not wrapping the inputs, and no aria-label/aria-labelledby on the input.'}",0.94,"SR transcript: ""checkbox, not checked""; Parent HTML: ""<label>British ...</label><input id=""nationality_british"" ...>"" (label lacks for and does not wrap the input)","1.3.1/form-control-grouping, 4.1.2/name-role-value, 1.1.1/non-text-content"
forms-missing-labels-in-checkboxes::sample-1,forms-missing-labels-in-checkboxes.html,inaccessible,"<input id=""nationality_irish"" name=""nationality.irish"" type=""checkbox"" value=""true"">","<fieldset><legend>What is your nationality?</legend><label>British (including English, Scottish, Welsh and Northern Irish)</label><input id=""nationality_british"" name=""nationality.british"" type=""checkbox"" value=""true""><label>Irish</label><input id=""nationality_irish"" name=""nationality.irish"" type=""checkbox"" value=""true""><label>Citizen of a different country</label><input id=""nationality_hasOtherCountry"" name=""nationality.hasOtherCountry"" type=""checkbox"" value=""true""></fieldset>","[""checkbox, not checked""]",,"{""before"":{""phrase"":""checkbox, not checked"",""html"":""<input id=\""nationality_irish\"" name=\""nationality.irish\"" type=\""checkbox\"" value=\""true\"">""},""after"":{""phrase"":""checkbox, checked"",""html"":""<input id=\""nationality_irish\"" name=\""nationality.irish\"" type=\""checkbox\"" value=\""true\"" checked=\""\"">""}}",,,,,,,,,,inaccessible,"{'4.1.2': 'Screen reader announces only ""checkbox, not checked"" with no name; element has no aria-label/aria-labelledby and its preceding <label> is not associated (no for, not wrapping), so the control lacks an accessible name (SOURCE/PARENT HTML, SR transcript).'}",0.93,"SR: ""checkbox, not checked""; Parent HTML: ""<label>Irish</label><input id=... type=""checkbox"">"" (no for/association)","1.3.1/form-control-grouping, 4.1.2/name-role-value, 1.1.1/non-text-content"
forms-missing-labels-in-checkboxes::sample-2,forms-missing-labels-in-checkboxes.html,inaccessible,"<input id=""nationality_hasOtherCountry"" name=""nationality.hasOtherCountry"" type=""checkbox"" value=""true"">","<fieldset><legend>What is your nationality?</legend><label>British (including English, Scottish, Welsh and Northern Irish)</label><input id=""nationality_british"" name=""nationality.british"" type=""checkbox"" value=""true""><label>Irish</label><input id=""nationality_irish"" name=""nationality.irish"" type=""checkbox"" value=""true""><label>Citizen of a different country</label><input id=""nationality_hasOtherCountry"" name=""nationality.hasOtherCountry"" type=""checkbox"" value=""true""></fieldset>","[""checkbox, not checked""]",,"{""before"":{""phrase"":""checkbox, not checked"",""html"":""<input id=\""nationality_hasOtherCountry\"" name=\""nationality.hasOtherCountry\"" type=\""checkbox\"" value=\""true\"">""},""after"":{""phrase"":""checkbox, checked"",""html"":""<input id=\""nationality_hasOtherCountry\"" name=\""nationality.hasOtherCountry\"" type=\""checkbox\"" value=\""true\"" checked=\""\"">""}}",,,,,,,,,,inaccessible,"{'4.1.2': 'Checkbox lacks an accessible name. Screen reader announces only ""checkbox, not checked"" (no label). Parent HTML shows <label> elements not associated with inputs (no for attribute, not wrapping), so the control has no programmatic name.'}",0.9,"SR: ""checkbox, not checked""; Parent HTML: <label>…</label><input …> (no for/wrap)","1.3.1/form-control-grouping, 4.1.2/name-role-value, 1.1.1/non-text-content"
forms-two-unique-labels-but-identical-for-attributes::sample-0,forms-two-unique-labels-but-identical-for-attributes.html,inaccessible,"<main><form><label for=""two-labels-day"">Date of issue</label><p><label for=""two-labels-day"">Day</label><input id=""two-labels-day"" type=""text""><label for=""two-labels-month"">Month</label><input id=""two-labels-month"" type=""text""><label for=""two-labels-year"">Year</label><input id=""two-labels-year"" type=""text""></p></form></main>","<body><h1>Two unique labels </h1><main><form><label for=""two-labels-day"">Date of issue</label><p><label for=""two-labels-day"">Day</label><input id=""two-labels-day"" type=""text""><label for=""two-labels-month"">Month</label><input id=""two-labels-month"" type=""text""><label for=""two-labels-year"">Year</label><input id=""two-labels-year"" type=""text""></p></form></main></body>","[""main"",""form"",""Date of issue"",""paragraph"",""Day"",""textbox, Date of issue Day"",""Month"",""textbox, Month"",""Year"",""textbox, Year"",""end of paragraph"",""end of form"",""end of main""]",,,,,,,,,,,,accessible,,0.78,"SCREEN READER shows native roles and names for fields: “textbox, Date of issue Day”, “textbox, Month”, “textbox, Year”. PARENT CONTEXT shows <h1> then <main> with no heading level skips.","1.3.1/form-control-grouping, 1.3.1/heading-structure, 1.3.1/hidden-or-css-content, 1.3.1/list-structure, 1.3.1/semantic-misuse, 1.3.1/table-relationships, 4.1.2/name-role-value, 4.1.3/status-messages"
